60,,11,How can you enable and configure TCP keepalive on a Linux system?,To enable and configure TCP keepalive on a Linux system you can use the following sysctl commands: `sysctl -w net.ipv4.tcp_keepalive_time=300` `sysctl -w net.ipv4.tcp_keepalive_intvl=75` `sysctl -w net.ipv4.tcp_keepalive_probes=9`. These commands set the keepalive time interval and number of probes respectively.
61,,11,What tools can be used to troubleshoot TCP issues?,Common tools for troubleshooting TCP issues include: 1. **Wireshark**: Captures and analyzes network traffic. 2. **tcpdump**: Command-line packet analyzer. 3. **netstat**: Displays network connections and statistics. 4. **ss**: Utility to investigate sockets. 5. **iperf**: Measures TCP bandwidth performance.
62,,11,How can you use Wireshark to analyze a TCP handshake?,To analyze a TCP handshake using Wireshark: 1. Capture the network traffic. 2. Apply a filter to display only TCP packets (e.g. `tcp.port == 80`). 3. Locate the three-way handshake packets (SYN SYN-ACK ACK). 4. Examine the packet details to verify the sequence numbers acknowledgment numbers and TCP options.
63,,12,What is the primary purpose of Ethernet as defined by IEEE 802.3?,Ethernet is a family of wired networking technologies used in local area networks (LANs) metropolitan area networks (MANs) and wide area networks (WANs). It provides a standardized method for data communication over a variety of physical media.
64,,12,Describe the basic structure of an Ethernet frame.,An Ethernet frame consists of the following fields: 1. **Preamble** (7 bytes): Used for synchronization. 2. **Start Frame Delimiter (SFD)** (1 byte): Indicates the start of the frame. 3. **Destination MAC Address** (6 bytes): Identifies the receiving device. 4. **Source MAC Address** (6 bytes): Identifies the sending device. 5. **EtherType/Length** (2 bytes): Indicates the protocol type or payload length. 6. **Payload** (46-1500 bytes): Contains the actual data being transmitted. 7. **Frame Check Sequence (FCS)** (4 bytes): Used for error detection.
65,,12,What are the different Ethernet standards defined by IEEE 802.3?,Ethernet standards include: 1. **10BASE-T**: 10 Mbps over twisted pair cables. 2. **100BASE-TX**: 100 Mbps over twisted pair cables. 3. **1000BASE-T**: 1 Gbps over twisted pair cables. 4. **10GBASE-T**: 10 Gbps over twisted pair cables. 5. **100BASE-FX**: 100 Mbps over fiber optic cables. 6. **1000BASE-SX**: 1 Gbps over fiber optic cables.
66,,12,Explain the role of the Media Access Control (MAC) sublayer in Ethernet.,The MAC sublayer is responsible for controlling how devices on a network gain access to the medium and permission to transmit data. It handles frame delimiting addressing error detection and medium access control.
67,,12,How does Carrier Sense Multiple Access with Collision Detection (CSMA/CD) work in Ethernet?,CSMA/CD is a network protocol that listens for carrier signals before transmitting data. If the medium is idle the device transmits. If a collision is detected during transmission the device stops waits for a random backoff period and then attempts to retransmit.
68,,12,What is a MAC address and how is it structured?,A MAC address is a unique identifier assigned to network interfaces for communications on the physical network segment. It is a 48-bit address typically represented in hexadecimal format (e.g. 00:1A:2B:3C:4D:5E) consisting of a 24-bit Organizationally Unique Identifier (OUI) and a 24-bit Network Interface Controller (NIC) specific identifier.
69,,12,How do you configure a basic Ethernet interface on a Cisco router?,To configure a basic Ethernet interface on a Cisco router: 1. Enter global configuration mode: `configure terminal`. 2. Enter interface configuration mode: `interface [interface-id]`. 3. Assign an IP address: `ip address [IP address] [subnet mask]`. 4. Enable the interface: `no shutdown`.
70,,13,What are common issues with Ethernet networks and how can they be troubleshooted?,Common Ethernet issues include cable faults network collisions and configuration errors. Troubleshooting steps include checking physical connections verifying MAC and IP address configurations using tools like `ping` and `traceroute` and analyzing network traffic with packet capture tools like Wireshark.
71,,13,How can you monitor and analyze Ethernet network performance?,Ethernet network performance can be monitored and analyzed using network management tools and protocols such as SNMP NetFlow and sFlow. Additionally packet capture tools like Wireshark can be used to analyze network traffic identify bottlenecks and troubleshoot issues.
72,,13,What are common security threats to Ethernet networks and how can they be mitigated?,Common security threats to Ethernet networks include MAC address spoofing VLAN hopping and man-in-the-middle attacks. Mitigation strategies include using port security enabling DHCP snooping implementing VLAN access controls and using strong authentication methods like 802.1X.
73,,13,What is Link Aggregation and how does it benefit Ethernet networks?,Link Aggregation defined by IEEE 802.3ad allows multiple Ethernet links to be combined into a single logical link increasing bandwidth and providing redundancy. It improves network performance and reliability by distributing traffic across multiple physical links.
74,,13,Explain the purpose and operation of VLANs in Ethernet networks.,VLANs (Virtual Local Area Networks) allow a network to be segmented logically instead of physically. They enable devices on different VLANs to communicate as if they were on separate physical networks improving security and traffic management. VLANs are configured using switches and are identified by a unique VLAN ID.
75,,13,What is the difference between Fast Ethernet and Gigabit Ethernet?,Fast Ethernet operates at 100 Mbps while Gigabit Ethernet operates at 1 Gbps. Gigabit Ethernet provides higher bandwidth allowing for faster data transfer rates and improved network performance making it suitable for high-demand applications.
76,,13,Describe the purpose of the Spanning Tree Protocol (STP) in Ethernet networks.,STP defined by IEEE 802.1D prevents network loops in Ethernet networks by creating a spanning tree that selectively disables redundant links. This ensures a loop-free topology improving network stability and preventing broadcast storms.
77,,13,How does the Address Resolution Protocol (ARP) work in an Ethernet network?,ARP maps IP addresses to MAC addresses. When a device wants to communicate with another device on the same network it sends an ARP request to discover the MAC address corresponding to the target IP address. The target device responds with its MAC address allowing communication to proceed.
78,,14,What is the primary purpose of the Spanning Tree Protocol (STP)?,STP defined by IEEE 802.1D is used to prevent network loops in Ethernet networks by creating a spanning tree topology that selectively disables redundant paths ensuring a loop-free and stable network.
79,,14,Describe the basic operation of STP.,STP operates by electing a root bridge and then calculating the shortest path to the root for all switches in the network. It places redundant paths into a blocking state to prevent loops. STP uses Bridge Protocol Data Units (BPDUs) to exchange information between switches.
80,,14,What are the key components of an STP topology?,The key components of an STP topology are: 1. **Root Bridge**: The central reference point in the spanning tree. 2. **Root Ports**: The ports on non-root switches that point towards the root bridge. 3. **Designated Ports**: The ports that are designated for forwarding on each network segment. 4. **Blocking Ports**: The ports that are blocked to prevent loops.
81,,14,How do you configure STP on a Cisco switch?,To configure STP on a Cisco switch: 1. Enter global configuration mode: `configure terminal`. 2. Enable STP: `spanning-tree mode pvst` (Per VLAN STP) or `spanning-tree mode mst` (Multiple STP). 3. Optionally set the priority of the switch: `spanning-tree vlan [vlan-id] priority [priority-value]`.
82,,14,How can you influence the root bridge election in STP?,You can influence the root bridge election by setting the bridge priority. The switch with the lowest priority value becomes the root bridge. Use the command: `spanning-tree vlan [vlan-id] priority [priority-value]` on a Cisco switch.
83,,14,What are common issues with STP and how can they be troubleshooted?,Common STP issues include misconfigurations BPDU filter/misfilter and inconsistent port states. Troubleshooting steps include verifying STP configurations checking for BPDU transmission and reception and using commands like `show spanning-tree` to diagnose issues.
84,,14,What is PortFast and how does it enhance STP?,PortFast is an STP enhancement that allows a port to bypass the listening and learning states and transition directly to the forwarding state. This is useful for ports connected to end devices reducing the time it takes for the port to start forwarding traffic.
85,,15,What is the primary purpose of the Rapid Spanning Tree Protocol (RSTP)?,RSTP defined by IEEE 802.1w is an enhancement of STP that provides faster convergence and improved network stability by quickly transitioning ports to the forwarding or blocking state.
86,,15,Describe the basic operation of RSTP.,RSTP operates similarly to STP but includes rapid convergence mechanisms. It uses a handshake mechanism to quickly transition edge ports to the forwarding state and uses new port roles and states to achieve faster convergence.
87,,15,What are the key port roles and states in RSTP?,The key port roles in RSTP are: 1. **Root Port**: The best path to the root bridge. 2. **Designated Port**: The best path to forward traffic to a network segment. 3. **Alternate Port**: A backup path to the root bridge. 4. **Backup Port**: A backup path to a network segment. The port states are: 1. **Discarding**: No user data is sent or received. 2. **Learning**: The port is learning MAC addresses. 3. **Forwarding**: The port is forwarding user data.
88,,15,How do you configure RSTP on a Cisco switch?,To configure RSTP on a Cisco switch: 1. Enter global configuration mode: `configure terminal`. 2. Enable RSTP: `spanning-tree mode rapid-pvst` (Rapid Per VLAN STP) or `spanning-tree mode mst` (Multiple Spanning Tree). 3. Optionally set the priority of the switch: `spanning-tree vlan [vlan-id] priority [priority-value]`.
89,,15,How can you influence the root bridge election in RSTP?,You can influence the root bridge election in RSTP by setting the bridge priority similar to STP. Use the command: `spanning-tree vlan [vlan-id] priority [priority-value]` on a Cisco switch.
90,,15,What are common issues with RSTP and how can they be troubleshooted?,Common RSTP issues include incorrect port roles misconfigurations and unexpected topology changes. Troubleshooting steps include verifying RSTP configurations checking port roles and states and using commands like `show spanning-tree` to diagnose issues.
91,,15,What is the purpose of the Edge Port feature in RSTP?,The Edge Port feature in RSTP allows a port to immediately transition to the forwarding state similar to PortFast in STP. It is used for ports connected to end devices to speed up network convergence.
92,,16,What is the primary purpose of the VLAN Trunking Protocol (VTP)?,VTP is a Cisco proprietary protocol used to manage VLAN configurations across multiple switches in a network by propagating VLAN information from a central server to all switches in the VTP domain.
93,,16,Describe the basic operation of VTP.,VTP operates by propagating VLAN information from a central VTP server switch to all other switches in the same VTP domain. Switches can operate in different VTP modes: Server Client and Transparent. Server mode allows creating modifying and deleting VLANs. Client mode receives updates but cannot create or modify VLANs. Transparent mode forwards VTP messages but does not participate in VLAN updates.
94,,16,What are the key components of a VTP domain?,The key components of a VTP domain are: 1. **VTP Domain**: A collection of switches with the same VTP domain name. 2. **VTP Modes**: Server Client and Transparent. 3. **VTP Advertisements**: Messages exchanged between switches to propagate VLAN information.
95,,16,How do you configure VTP on a Cisco switch?,To configure VTP on a Cisco switch: 1. Enter global configuration mode: `configure terminal`. 2. Set the VTP domain name: `vtp domain [domain-name]`. 3. Set the VTP mode: `vtp mode [server|client|transparent]`. 4. Optionally set the VTP password: `vtp password [password]`.
96,,16,What are the different versions of VTP and their features?,There are three versions of VTP: 1. **VTPv1**: Basic VLAN propagation. 2. **VTPv2**: Supports Token Ring VLANs and version consistency checks. 3. **VTPv3**: Adds support for extended VLANs enhanced security and the ability to propagate Private VLANs.
97,,16,What are common issues with VTP and how can they be troubleshooted?,Common VTP issues include domain mismatches version mismatches and incorrect mode configurations. Troubleshooting steps include verifying VTP domain names checking VTP mode and version and using commands like `show vtp status` and `show vtp counters` to diagnose issues.
98,,16,What are the security concerns with VTP and how can they be mitigated?,Security concerns with VTP include unauthorized VLAN changes and potential VLAN database corruption. Mitigation strategies include setting a VTP password using VTPv3 for enhanced security features and limiting the number of switches operating in VTP server mode.
99,,16,What is VTP pruning and how does it benefit a network?,VTP pruning is a feature that reduces unnecessary VLAN traffic on trunk links by restricting the flooding of broadcast multicast and unknown unicast traffic to only those trunk links that need the traffic. This improves network efficiency and bandwidth usage.
100,,16,How can VTP version 3 improve VLAN management compared to previous versions?,VTP version 3 improves VLAN management by adding support for extended VLANs (4096 VLANs) enhanced security with hidden passwords the ability to propagate Private VLANs and better handling of configuration revisions to prevent accidental VLAN deletions.
101,,16,What are some best practices for using VTP in a network?,Best practices for using VTP include: 1. Use VTP version 3 for enhanced security and features. 2. Set a VTP password to protect VLAN configurations. 3. Limit the number of switches in VTP server mode to reduce the risk of accidental changes. 4. Regularly back up the VLAN database. 5. Use VTP pruning to optimize bandwidth usage.
102,,17,What is the primary purpose of the Link Aggregation Control Protocol (LACP)?,LACP defined by IEEE 802.3ad is used to combine multiple physical Ethernet links into a single logical link increasing bandwidth and providing redundancy for improved network performance and reliability.
103,,17,Describe the basic operation of LACP.,LACP operates by dynamically grouping multiple physical ports into a single logical channel. It uses LACP Data Units (LACPDUs) to exchange information between devices and ensure that the aggregated links are functioning correctly.
104,,17,How do you configure LACP on a Cisco switch?,To configure LACP on a Cisco switch: 1. Enter interface configuration mode for the desired interfaces: `interface range [interface-id]`. 2. Enable LACP: `channel-group [group-number] mode active`. 3. Verify the configuration: `show etherchannel summary`.
105,,17,What are the different modes of LACP and their purposes?,The two main modes of LACP are: 1. **Active**: The port actively tries to form an LACP link by sending LACPDUs. 2. **Passive**: The port forms an LACP link only if it receives LACPDUs from the other side. This mode does not initiate the aggregation but responds to LACPDUs.
106,,17,What are the benefits of using LACP?,The benefits of using LACP include increased bandwidth by aggregating multiple links improved redundancy and fault tolerance by providing multiple physical paths and simplified network management by treating multiple links as a single logical link.
107,,17,What are common issues with LACP and how can they be troubleshooted?,Common LACP issues include misconfigurations incompatible settings between devices and physical link failures. Troubleshooting steps include verifying configurations on both ends checking for consistent settings and using commands like `show etherchannel` and `show lacp` to diagnose issues.
108,,17,Explain the concept of LACP fast rate and its benefits.,LACP fast rate allows for quicker detection of link failures by sending LACPDUs more frequently (every 1 second instead of every 30 seconds). This reduces the time it takes to detect and recover from link failures improving network reliability.
109,,18,What is the primary purpose of the Virtual Router Redundancy Protocol (VRRP)?,VRRP defined by IETF RFC 5798 provides high availability by allowing multiple routers to work together to present the appearance of a single virtual router ensuring continuous network availability if the primary router fails.
110,,18,Describe the basic operation of VRRP.,VRRP operates by creating a virtual router with a virtual IP address shared among a group of physical routers. One router is elected as the Master handling the traffic for the virtual IP address while the other routers act as backups. If the Master fails one of the backups is elected as the new Master.
